IDI_OCCUPATION_CLASS,IDI_BENEFIT_PERIOD,ELIMINATION_PERIOD,BENEFIT_PERIOD_MODIFIER
M,LIFE,0,1.032
M,LIFE,7,1.032
M,LIFE,14,1.032
M,LIFE,30,1.032
M,LIFE,60,1.048
M,LIFE,90,1.189
M,LIFE,180,1.189
M,LIFE,360,1.189
M,LIFE,720,1.189
1,LIFE,0,1.067
1,LIFE,7,1.067
1,LIFE,14,1.067
1,LIFE,30,1.067
1,LIFE,60,1.158
1,LIFE,90,1.416
1,LIFE,180,1.416
1,LIFE,360,1.416
1,LIFE,720,1.416
2,LIFE,0,1.172
2,LIFE,7,1.172
2,LIFE,14,1.172
2,LIFE,30,1.172
2,LIFE,60,1.172
2,LIFE,90,1.172
2,LIFE,180,1.172
2,LIFE,360,1.172
2,LIFE,720,1.172
3,LIFE,0,1
3,LIFE,7,1
3,LIFE,14,1
3,LIFE,30,1
3,LIFE,60,1
3,LIFE,90,1
3,LIFE,180,1
3,LIFE,360,1
3,LIFE,720,1
4,LIFE,0,1
4,LIFE,7,1
4,LIFE,14,1
4,LIFE,30,1
4,LIFE,60,1
4,LIFE,90,1
4,LIFE,180,1
4,LIFE,360,1
4,LIFE,720,1
M,TO65,0,1.013
M,TO65,7,1.013
M,TO65,14,1.013
M,TO65,30,1.013
M,TO65,60,1.009
M,TO65,90,0.973
M,TO65,180,0.973
M,TO65,360,0.973
M,TO65,720,0.973
1,TO65,0,1.039
1,TO65,7,1.039
1,TO65,14,1.039
1,TO65,30,1.039
1,TO65,60,1.003
1,TO65,90,0.962
1,TO65,180,0.962
1,TO65,360,0.962
1,TO65,720,0.962
2,TO65,0,0.986
2,TO65,7,0.986
2,TO65,14,0.986
2,TO65,30,0.986
2,TO65,60,0.986
2,TO65,90,0.986
2,TO65,180,0.986
2,TO65,360,0.986
2,TO65,720,0.986
3,TO65,0,1
3,TO65,7,1
3,TO65,14,1
3,TO65,30,1
3,TO65,60,1
3,TO65,90,1
3,TO65,180,1
3,TO65,360,1
3,TO65,720,1
4,TO65,0,1
4,TO65,7,1
4,TO65,14,1
4,TO65,30,1
4,TO65,60,1
4,TO65,90,1
4,TO65,180,1
4,TO65,360,1
4,TO65,720,1
M,TO67,0,1.013
M,TO67,7,1.013
M,TO67,14,1.013
M,TO67,30,1.013
M,TO67,60,1.009
M,TO67,90,0.973
M,TO67,180,0.973
M,TO67,360,0.973
M,TO67,720,0.973
1,TO67,0,1.039
1,TO67,7,1.039
1,TO67,14,1.039
1,TO67,30,1.039
1,TO67,60,1.003
1,TO67,90,0.962
1,TO67,180,0.962
1,TO67,360,0.962
1,TO67,720,0.962
2,TO67,0,0.986
2,TO67,7,0.986
2,TO67,14,0.986
2,TO67,30,0.986
2,TO67,60,0.986
2,TO67,90,0.986
2,TO67,180,0.986
2,TO67,360,0.986
2,TO67,720,0.986
3,TO67,0,1
3,TO67,7,1
3,TO67,14,1
3,TO67,30,1
3,TO67,60,1
3,TO67,90,1
3,TO67,180,1
3,TO67,360,1
3,TO67,720,1
4,TO67,0,1
4,TO67,7,1
4,TO67,14,1
4,TO67,30,1
4,TO67,60,1
4,TO67,90,1
4,TO67,180,1
4,TO67,360,1
4,TO67,720,1
M,TO70,0,1.013
M,TO70,7,1.013
M,TO70,14,1.013
M,TO70,30,1.013
M,TO70,60,1.009
M,TO70,90,0.973
M,TO70,180,0.973
M,TO70,360,0.973
M,TO70,720,0.973
1,TO70,0,1.039
1,TO70,7,1.039
1,TO70,14,1.039
1,TO70,30,1.039
1,TO70,60,1.003
1,TO70,90,0.962
1,TO70,180,0.962
1,TO70,360,0.962
1,TO70,720,0.962
2,TO70,0,0.986
2,TO70,7,0.986
2,TO70,14,0.986
2,TO70,30,0.986
2,TO70,60,0.986
2,TO70,90,0.986
2,TO70,180,0.986
2,TO70,360,0.986
2,TO70,720,0.986
3,TO70,0,1
3,TO70,7,1
3,TO70,14,1
3,TO70,30,1
3,TO70,60,1
3,TO70,90,1
3,TO70,180,1
3,TO70,360,1
3,TO70,720,1
4,TO70,0,1
4,TO70,7,1
4,TO70,14,1
4,TO70,30,1
4,TO70,60,1
4,TO70,90,1
