DURATION_YEAR,AGE_BAND,LAPSE_RATE
1,61+,0.08
2,61+,0.08
3,61+,0.08
4,61+,0.08
5,61+,0.08
6,61+,0.08
7,61+,0.08
8,61+,0.08
9,61+,0.08
10,61+,0.08
1,31-35,0.08
2,31-35,0.08
3,31-35,0.08
4,31-35,0.073
5,31-35,0.065
6,31-35,0.058
7,31-35,0.054000000000000006
8,31-35,0.046
9,31-35,0.04
10,31-35,0.04
11,31-35,0.04
12,31-35,0.04
13,31-35,0.04
14,31-35,0.04
15,31-35,0.04
16,31-35,0.04
17,31-35,0.04
18,31-35,0.04
19,31-35,0.04
20,31-35,0.041
21,31-35,0.046
22,31-35,0.047
23,31-35,0.046
24,31-35,0.048
25,31-35,0.053
26,31-35,0.065
27,31-35,0.08
28,31-35,0.08
29,31-35,0.08
30,31-35,0.08
31,31-35,0.08
32,31-35,0.08
33,31-35,0.08
34,31-35,0.08
35,31-35,0.08
36,31-35,0.08
37,31-35,0.08
38,31-35,0.08
39,31-35,0.08
40,31-35,0.08
1,26-30,0.08
2,26-30,0.08
3,26-30,0.08
4,26-30,0.08
5,26-30,0.08
6,26-30,0.08
7,26-30,0.071
8,26-30,0.059
9,26-30,0.048
10,26-30,0.04
11,26-30,0.04
12,26-30,0.04
13,26-30,0.04
14,26-30,0.04
15,26-30,0.04
16,26-30,0.04
17,26-30,0.04
18,26-30,0.04
19,26-30,0.04
20,26-30,0.041
21,26-30,0.043
22,26-30,0.043
23,26-30,0.043
24,26-30,0.044
25,26-30,0.046
26,26-30,0.053
27,26-30,0.066
28,26-30,0.08
29,26-30,0.08
30,26-30,0.08
31,26-30,0.08
32,26-30,0.08
33,26-30,0.08
34,26-30,0.08
35,26-30,0.08
36,26-30,0.08
37,26-30,0.08
38,26-30,0.08
39,26-30,0.08
40,26-30,0.08
41,26-30,0.08
42,26-30,0.08
43,26-30,0.08
44,26-30,0.08
45,26-30,0.08
1,46-50,0.08
2,46-50,0.08
3,46-50,0.08
4,46-50,0.08
5,46-50,0.08
6,46-50,0.08
7,46-50,0.08
8,46-50,0.08
9,46-50,0.08
10,46-50,0.08
11,46-50,0.08
12,46-50,0.08
13,46-50,0.08
14,46-50,0.08
15,46-50,0.08
16,46-50,0.08
17,46-50,0.08
18,46-50,0.08
19,46-50,0.08
20,46-50,0.08
21,46-50,0.08
22,46-50,0.08
23,46-50,0.08
24,46-50,0.08
25,46-50,0.08
1,56-60,0.08
2,56-60,0.08
3,56-60,0.08
4,56-60,0.08
5,56-60,0.08
6,56-60,0.08
7,56-60,0.08
8,56-60,0.08
9,56-60,0.08
10,56-60,0.08
11,56-60,0.08
12,56-60,0.08
13,56-60,0.08
14,56-60,0.08
15,56-60,0.08
1,20-25,0.08
2,20-25,0.08
3,20-25,0.08
4,20-25,0.08
5,20-25,0.08
6,20-25,0.08
7,20-25,0.08
8,20-25,0.07200000000000001
9,20-25,0.055
10,20-25,0.04
11,20-25,0.04
12,20-25,0.04
13,20-25,0.04
14,20-25,0.04
15,20-25,0.04
16,20-25,0.04
17,20-25,0.04
18,20-25,0.04
19,20-25,0.04
20,20-25,0.04
21,20-25,0.04
22,20-25,0.04
23,20-25,0.04
24,20-25,0.04
25,20-25,0.04
26,20-25,0.04
27,20-25,0.04
28,20-25,0.04
29,20-25,0.04
30,20-25,0.041
31,20-25,0.046
32,20-25,0.047
33,20-25,0.046
34,20-25,0.048
35,20-25,0.053
36,20-25,0.065
37,20-25,0.08
38,20-25,0.08
39,20-25,0.08
40,20-25,0.08
41,20-25,0.08
42,20-25,0.08
43,20-25,0.08
44,20-25,0.08
45,20-25,0.08
46,20-25,0.08
47,20-25,0.08
48,20-25,0.08
49,20-25,0.08
50,20-25,0.08
1,36-40,0.08
2,36-40,0.08
3,36-40,0.08
4,36-40,0.071
5,36-40,0.065
6,36-40,0.059
7,36-40,0.054000000000000006
8,36-40,0.047
9,36-40,0.043
10,36-40,0.042
11,36-40,0.043
12,36-40,0.043
13,36-40,0.043
14,36-40,0.044
15,36-40,0.046
16,36-40,0.053
17,36-40,0.066
18,36-40,0.08
19,36-40,0.08
20,36-40,0.08
21,36-40,0.08
22,36-40,0.08
23,36-40,0.08
24,36-40,0.08
25,36-40,0.08
26,36-40,0.08
27,36-40,0.08
28,36-40,0.08
29,36-40,0.08
30,36-40,0.08
31,36-40,0.08
32,36-40,0.08
33,36-40,0.08
34,36-40,0.08
35,36-40,0.08
1,41-45,0.08
2,41-45,0.08
3,41-45,0.078
4,41-45,0.07
5,41-45,0.064
6,41-45,0.059
7,41-45,0.054000000000000006
8,41-45,0.048
9,41-45,0.046
10,41-45,0.045
11,41-45,0.046
12,41-45,0.047
13,41-45,0.046
14,41-45,0.048
15,41-45,0.053
16,41-45,0.065
17,41-45,0.08
18,41-45,0.08
19,41-45,0.08
20,41-45,0.08
21,41-45,0.08
22,41-45,0.08
23,41-45,0.08
24,41-45,0.08
25,41-45,0.08
26,41-45,0.08
27,41-45,0.08
28,41-45,0.08
29,41-45,0.08
30,41-45,0.08
1,51-55,0.08
2,51-55,0.08
3,51-55,0.08
4,51-55,0.08
5,51-55,0.08
6,51-55,0.08
7,51-55,0.08
8,51-55,0.08
9,51-55,0.08
10,51-55,0.08
11,51-55,0.08
12,51-55,0.08
13,51-55,0.08
14,51-55,0.08
15,51-55,0.08
16,51-55,0.08
17,51-55,0.08
18,51-55,0.08
19,51-55,0.08
20,51-55,0.08
