DURATION_YEAR,ISSUE_AGE_MIN,ISSUE_AGE_MAX,BASE_LAPSE_RATE
1,0,25,0.190
2,0,25,0.190
3,0,25,0.188
4,0,25,0.176
5,0,25,0.157
6,0,25,0.134
7,0,25,0.111
8,0,25,0.090
9,0,25,0.069
10,0,25,0.050
11,0,25,0.050
12,0,25,0.050
13,0,25,0.050
14,0,25,0.050
15,0,25,0.050
16,0,25,0.050
17,0,25,0.050
18,0,25,0.050
19,0,25,0.050
20,0,25,0.050
21,0,25,0.050
22,0,25,0.050
23,0,25,0.050
24,0,25,0.050
25,0,25,0.050
26,0,25,0.050
27,0,25,0.050
28,0,25,0.050
29,0,25,0.050
30,0,25,0.052
31,0,25,0.057
32,0,25,0.058
33,0,25,0.057
34,0,25,0.061
35,0,25,0.066
36,0,25,0.081
37,0,25,0.116
38,0,25,0.177
39,0,25,0.259
40,0,25,0.344
41,0,25,0.344
42,0,25,0.344
43,0,25,0.344
44,0,25,0.344
45,0,25,0.344
1,26,30,0.146
2,26,30,0.147
3,26,30,0.145
4,26,30,0.134
5,26,30,0.119
6,26,30,0.103
7,26,30,0.089
8,26,30,0.074
9,26,30,0.060
10,26,30,0.050
11,26,30,0.050
12,26,30,0.050
13,26,30,0.050
14,26,30,0.050
15,26,30,0.050
16,26,30,0.050
17,26,30,0.050
18,26,30,0.050
19,26,30,0.050
20,26,30,0.051
21,26,30,0.054
22,26,30,0.054
23,26,30,0.054
24,26,30,0.055
25,26,30,0.058
26,26,30,0.066
27,26,30,0.083
28,26,30,0.114
29,26,30,0.154
30,26,30,0.198
31,26,30,0.201
32,26,30,0.201
33,26,30,0.201
34,26,30,0.202
35,26,30,0.205
36,26,30,0.213
37,26,30,0.230
38,26,30,0.261
39,26,30,0.301
40,26,30,0.344
41,26,30,0.344
42,26,30,0.344
43,26,30,0.344
44,26,30,0.344
45,26,30,0.344
1,31,35,0.102
2,31,35,0.103
3,31,35,0.102
4,31,35,0.091
5,31,35,0.081
6,31,35,0.073
7,31,35,0.067
8,31,35,0.057
9,31,35,0.051
10,31,35,0.050
11,31,35,0.050
12,31,35,0.050
13,31,35,0.050
14,31,35,0.050
15,31,35,0.050
16,31,35,0.050
17,31,35,0.050
18,31,35,0.050
19,31,35,0.050
20,31,35,0.052
21,31,35,0.057
22,31,35,0.058
23,31,35,0.057
24,31,35,0.061
25,31,35,0.066
26,31,35,0.081
27,31,35,0.116
28,31,35,0.177
29,31,35,0.259
30,31,35,0.344
31,31,35,0.344
32,31,35,0.344
33,31,35,0.344
34,31,35,0.344
35,31,35,0.344
36,31,35,0.344
37,31,35,0.344
38,31,35,0.344
39,31,35,0.344
40,31,35,0.344
41,31,35,0.344
42,31,35,0.344
43,31,35,0.344
44,31,35,0.344
45,31,35,0.344
1,36,40,0.105
2,36,40,0.105
3,36,40,0.100
4,36,40,0.089
5,36,40,0.081
6,36,40,0.073
7,36,40,0.067
8,36,40,0.059
9,36,40,0.054
10,36,40,0.053
11,36,40,0.054
12,36,40,0.054
13,36,40,0.054
14,36,40,0.055
15,36,40,0.058
16,36,40,0.066
17,36,40,0.083
18,36,40,0.114
19,36,40,0.154
20,36,40,0.198
21,36,40,0.201
22,36,40,0.201
