DURATION_YEAR,AGE_BAND,LAPSE_RATE
1,31-35,0.102
2,31-35,0.103
3,31-35,0.102
4,31-35,0.091
5,31-35,0.081
6,31-35,0.073
7,31-35,0.067
8,31-35,0.057
9,31-35,0.051
10,31-35,0.05
11,31-35,0.05
12,31-35,0.05
13,31-35,0.05
14,31-35,0.05
15,31-35,0.05
16,31-35,0.05
17,31-35,0.05
18,31-35,0.05
19,31-35,0.05
20,31-35,0.052000000000000005
21,31-35,0.057
22,31-35,0.058
23,31-35,0.057
24,31-35,0.061
25,31-35,0.066
26,31-35,0.081
27,31-35,0.116
28,31-35,0.177
29,31-35,0.259
30,31-35,0.344
31,31-35,0.344
32,31-35,0.344
33,31-35,0.344
34,31-35,0.344
35,31-35,0.344
36,31-35,0.344
37,31-35,0.344
38,31-35,0.344
39,31-35,0.344
40,31-35,0.344
1,41-45,0.108
2,41-45,0.106
3,41-45,0.098
4,41-45,0.087
5,41-45,0.08
6,41-45,0.07400000000000001
7,41-45,0.067
8,41-45,0.061
9,41-45,0.057
10,41-45,0.056
11,41-45,0.057
12,41-45,0.058
13,41-45,0.057
14,41-45,0.061
15,41-45,0.066
16,41-45,0.081
17,41-45,0.116
18,41-45,0.177
19,41-45,0.259
20,41-45,0.344
21,41-45,0.344
22,41-45,0.344
23,41-45,0.344
24,41-45,0.344
25,41-45,0.344
26,41-45,0.344
27,41-45,0.344
28,41-45,0.344
29,41-45,0.344
30,41-45,0.344
1,61+,0.116
2,61+,0.116
3,61+,0.116
4,61+,0.116
5,61+,0.116
6,61+,0.116
7,61+,0.116
8,61+,0.116
9,61+,0.116
10,61+,0.116
1,46-50,0.112
2,46-50,0.117
3,46-50,0.118
4,46-50,0.113
5,46-50,0.112
6,46-50,0.111
7,46-50,0.117
8,46-50,0.13
9,46-50,0.153
10,46-50,0.187
11,46-50,0.188
12,46-50,0.188
13,46-50,0.188
14,46-50,0.189
15,46-50,0.192
16,46-50,0.2
17,46-50,0.217
18,46-50,0.248
19,46-50,0.28800000000000003
20,46-50,0.331
21,46-50,0.331
22,46-50,0.331
23,46-50,0.331
24,46-50,0.331
25,46-50,0.331
1,20-25,0.19
2,20-25,0.19
3,20-25,0.188
4,20-25,0.17600000000000002
5,20-25,0.157
6,20-25,0.134
7,20-25,0.111
8,20-25,0.09
9,20-25,0.069
10,20-25,0.05
11,20-25,0.05
12,20-25,0.05
13,20-25,0.05
14,20-25,0.05
15,20-25,0.05
16,20-25,0.05
17,20-25,0.05
18,20-25,0.05
19,20-25,0.05
20,20-25,0.05
21,20-25,0.05
22,20-25,0.05
23,20-25,0.05
24,20-25,0.05
25,20-25,0.05
26,20-25,0.05
27,20-25,0.05
28,20-25,0.05
29,20-25,0.05
30,20-25,0.052000000000000005
31,20-25,0.057
32,20-25,0.058
33,20-25,0.057
34,20-25,0.061
35,20-25,0.066
36,20-25,0.081
37,20-25,0.116
38,20-25,0.177
39,20-25,0.259
40,20-25,0.344
41,20-25,0.344
42,20-25,0.344
43,20-25,0.344
44,20-25,0.344
45,20-25,0.344
46,20-25,0.344
47,20-25,0.344
48,20-25,0.344
49,20-25,0.344
50,20-25,0.344
1,56-60,0.116
2,56-60,0.122
3,56-60,0.127
4,56-60,0.128
5,56-60,0.129
6,56-60,0.132
7,56-60,0.141
8,56-60,0.157
9,56-60,0.182
10,56-60,0.217
11,56-60,0.217
12,56-60,0.217
13,56-60,0.217
14,56-60,0.217
15,56-60,0.217
1,26-30,0.146
2,26-30,0.147
3,26-30,0.145
4,26-30,0.134
5,26-30,0.119
6,26-30,0.103
7,26-30,0.08900000000000001
8,26-30,0.07400000000000001
9,26-30,0.06
10,26-30,0.05
11,26-30,0.05
12,26-30,0.05
13,26-30,0.05
14,26-30,0.05
15,26-30,0.05
16,26-30,0.05
17,26-30,0.05
18,26-30,0.05
19,26-30,0.05
20,26-30,0.051
21,26-30,0.054000000000000006
22,26-30,0.054000000000000006
23,26-30,0.054000000000000006
24,26-30,0.055
25,26-30,0.058
26,26-30,0.066
27,26-30,0.083
28,26-30,0.114
29,26-30,0.154
30,26-30,0.198
31,26-30,0.201
32,26-30,0.201
33,26-30,0.201
34,26-30,0.202
35,26-30,0.205
36,26-30,0.213
37,26-30,0.23
38,26-30,0.261
39,26-30,0.301
40,26-30,0.344
41,26-30,0.344
42,26-30,0.344
43,26-30,0.344
44,26-30,0.344
1,36-40,0.105
2,36-40,0.105
3,36-40,0.1
4,36-40,0.08900000000000001
5,36-40,0.081
6,36-40,0.073
7,36-40,0.067
8,36-40,0.059
9,36-40,0.054000000000000006
10,36-40,0.053
11,36-40,0.054000000000000006
12,36-40,0.054000000000000006
13,36-40,0.054000000000000006
14,36-40,0.055
15,36-40,0.058
16,36-40,0.066
17,36-40,0.083
18,36-40,0.114
19,36-40,0.154
20,36-40,0.198
21,36-40,0.201
22,36-40,0.201
23,36-40,0.201
24,36-40,0.202
25,36-40,0.205
26,36-40,0.213
27,36-40,0.23
28,36-40,0.261
29,36-40,0.301
30,36-40,0.344
31,36-40,0.344
32,36-40,0.344
33,36-40,0.344
34,36-40,0.344
35,36-40,0.344
1,51-55,0.116
2,51-55,0.128
3,51-55,0.138
4,51-55,0.14
5,51-55,0.14300000000000002
6,51-55,0.149
7,51-55,0.166
8,51-55,0.199
9,51-55,0.249
10,51-55,0.318
11,51-55,0.318
12,51-55,0.318
13,51-55,0.318
14,51-55,0.318
15,51-55,0.318
16,51-55,0.318
17,51-55,0.318
18,51-55,0.318
19,51-55,0.318
20,51-55,0.318
