IDI_OCCUPATION_CLASS,GENDER,AGE_ATTAINED,BASE_ULTIMATE_CTR
1,F,32,0.027956553
1,F,33,0.028129124
1,F,34,0.028474267
1,F,35,0.02881941
1,F,36,0.027964915
1,F,37,0.027110421
1,F,38,0.026255927
1,F,39,0.025401432
1,F,40,0.024546938
1,F,41,0.023692444
1,F,42,0.022837949
1,F,43,0.021983455
1,F,44,0.02112896
1,F,45,0.020274466
1,F,46,0.019869533
1,F,47,0.0194646
1,F,48,0.019059667
1,F,49,0.018654734
1,F,50,0.018249801
1,F,51,0.017844868
1,F,52,0.017439935
1,F,53,0.017035002
1,F,54,0.016630069
1,F,55,0.016225136
1,F,56,0.016292356
1,F,57,0.016359576
1,F,58,0.016426796
1,F,59,0.016494016
1,F,60,0.016561236
1,F,61,0.016628457
1,F,62,0.016695677
1,F,63,0.017676817
1,F,64,0.018657958
1,F,65,0.019639099
1,F,66,0.020597345
1,F,67,0.021553411
1,F,68,0.023382172
1,F,69,0.025206804
1,F,70,0.027027308
1,F,71,0.028843684
1,F,72,0.030655932
1,F,73,0.033331371
1,F,74,0.036000739
1,F,75,0.038664036
1,F,76,0.041367709
1,F,77,0.044071381
1,F,78,0.047437945
1,F,79,0.051066839
1,F,80,0.055001783
1,F,81,0.05924278
1,F,82,0.063789827
1,F,83,0.0707865
1,F,84,0.0784525
1,F,85,0.0867735
1,F,86,0.09579875
1,F,87,0.10555475
1,F,88,0.11609675
1,F,89,0.1273195
1,F,90,0.13909875
1,F,91,0.1515815
1,F,92,0.1648855
1,F,93,0.1790505
1,F,94,0.194088
1,F,95,0.2100275
1,F,96,0.226891
1,F,97,0.251294
1,F,98,0.2844435
1,F,99,0.31804275
1,F,100,0.35165075
1,F,101,0.3847795
1,F,102,0.4168835
1,F,103,0.44682625
1,F,104,0.47469425
1,F,105,0.497825
1,F,106,0.5133
1,F,107,0.5279875
1,F,108,0.5418
1,F,109,0.55465
1,F,110,0.5625
1,F,111,0.5625
1,F,112,0.5625
1,F,113,0.5625
1,F,114,0.5625
1,F,115,0.5625
1,F,116,0.5625
1,F,117,0.5625
1,F,118,0.5625
1,F,119,0.5625
1,F,120,0.45
1,M,32,0.036327722
1,M,33,0.036627951
1,M,34,0.03692818
1,M,35,0.037378524
1,M,36,0.036479468
1,M,37,0.035580413
1,M,38,0.034681358
1,M,39,0.033782303
1,M,40,0.032883248
1,M,41,0.031984192
1,M,42,0.031085137
1,M,43,0.030186082
1,M,44,0.029287027
1,M,45,0.028387972
1,M,46,0.028007738
1,M,47,0.027627505
1,M,48,0.027247272
1,M,49,0.026867039
1,M,50,0.026486805
1,M,51,0.026106572
1,M,52,0.025726339
1,M,53,0.025346106
1,M,54,0.024965872
1,M,55,0.024585639
1,M,56,0.024784689
1,M,57,0.024983738
1,M,58,0.025182788
1,M,59,0.025381838
1,M,60,0.025580888
1,M,61,0.025779937
1,M,62,0.025978987
1,M,63,0.027195325
1,M,64,0.028411663
1,M,65,0.029628001
1,M,66,0.030810091
1,M,67,0.03198948
1,M,68,0.034037798
1,M,69,0.036081473
1,M,70,0.038120504
1,M,71,0.040154893
1,M,72,0.042184638
1,M,73,0.045058174
1,M,74,0.047925165
1,M,75,0.050785613
1,M,76,0.05369981
1,M,77,0.056614008
1,M,78,0.060679375
1,M,79,0.065610516
1,M,80,0.070692225
1,M,81,0.076112715
1,M,82,0.081984913
1,M,83,0.088271176
1,M,84,0.0963
1,M,85,0.1075555
1,M,86,0.12018825
1,M,87,0.13446375
1,M,88,0.15067025
1,M,89,0.16848325
1,M,90,0.1882675
1,M,91,0.2100855
1,M,92,0.23298525
1,M,93,0.2561775
1,M,94,0.2777895
1,M,95,0.29872375
1,M,96,0.32054625
1,M,97,0.343801
