BASIS,GENDER,AGE_ATTAINED,MORTALITY_RATE
80CSO,F,16,0.00092
80CSO,M,16,0.00159
80CSO,F,17,0.00096
80CSO,M,17,0.00172
80CSO,F,18,0.001
80CSO,M,18,0.00182
80CSO,F,19,0.00103
80CSO,M,19,0.00188
80CSO,F,20,0.00106
80CSO,M,20,0.0019
80CSO,F,21,0.00108
80CSO,M,21,0.0019
80CSO,F,22,0.0011
80CSO,M,22,0.00188
80CSO,F,23,0.00112
80CSO,M,23,0.00184
80CSO,F,24,0.00115
80CSO,M,24,0.0018
80CSO,F,25,0.00117
80CSO,M,25,0.00175
80CSO,F,26,0.0012
80CSO,M,26,0.00172
80CSO,F,27,0.00124
80CSO,M,27,0.00171
80CSO,F,28,0.00128
80CSO,M,28,0.0017
80CSO,F,29,0.00132
80CSO,M,29,0.00172
80CSO,F,30,0.00137
80CSO,M,30,0.00175
80CSO,F,31,0.00142
80CSO,M,31,0.0018
80CSO,F,32,0.00147
80CSO,M,32,0.00187
80CSO,F,33,0.00154
80CSO,M,33,0.00195
80CSO,F,34,0.00161
80CSO,M,34,0.00205
80CSO,F,35,0.0017
80CSO,M,35,0.00217
80CSO,F,36,0.00182
80CSO,M,36,0.00232
80CSO,F,37,0.00196
80CSO,M,37,0.00249
80CSO,F,38,0.00213
80CSO,M,38,0.00268
80CSO,F,39,0.00232
80CSO,M,39,0.0029
80CSO,F,40,0.00253
80CSO,M,40,0.00315
80CSO,F,41,0.00275
80CSO,M,41,0.00342
80CSO,F,42,0.00298
80CSO,M,42,0.00371
80CSO,F,43,0.0032
80CSO,M,43,0.00403
80CSO,F,44,0.00344
80CSO,M,44,0.00437
80CSO,F,45,0.00368
80CSO,M,45,0.00473
80CSO,F,46,0.00392
80CSO,M,46,0.00512
80CSO,F,47,0.00419
80CSO,M,47,0.00553
80CSO,F,48,0.00448
80CSO,M,48,0.00597
80CSO,F,49,0.00479
80CSO,M,49,0.00646
80CSO,F,50,0.00513
80CSO,M,50,0.007
80CSO,F,51,0.0055
80CSO,M,51,0.00763
80CSO,F,52,0.00592
80CSO,M,52,0.00833
80CSO,F,53,0.00638
80CSO,M,53,0.00913
80CSO,F,54,0.00685
80CSO,M,54,0.01001
80CSO,F,55,0.00733
80CSO,M,55,0.01096
80CSO,F,56,0.0078
80CSO,M,56,0.01197
80CSO,F,57,0.00825
80CSO,M,57,0.01304
80CSO,F,58,0.0087
80CSO,M,58,0.01418
80CSO,F,59,0.0092
80CSO,M,59,0.01542
80CSO,F,60,0.0098
80CSO,M,60,0.0168
80CSO,F,61,0.01054
80CSO,M,61,0.01836
80CSO,F,62,0.01149
80CSO,M,62,0.02012
80CSO,F,63,0.01263
80CSO,M,63,0.02209
80CSO,F,64,0.01392
80CSO,M,64,0.02427
80CSO,F,65,0.01529
80CSO,M,65,0.02662
80CSO,F,66,0.01671
80CSO,M,66,0.02913
80CSO,F,67,0.01813
80CSO,M,67,0.03179
80CSO,F,68,0.01959
80CSO,M,68,0.03465
80CSO,F,69,0.02123
80CSO,M,69,0.03781
80CSO,F,70,0.02316
80CSO,M,70,0.04137
80CSO,F,71,0.02553
80CSO,M,71,0.04543
80CSO,F,72,0.02847
80CSO,M,72,0.05008
80CSO,F,73,0.03199
80CSO,M,73,0.05534
80CSO,F,74,0.03605
80CSO,M,74,0.0611
80CSO,F,75,0.04056
80CSO,M,75,0.06725
80CSO,F,76,0.04545
80CSO,M,76,0.0737
80CSO,F,77,0.05068
80CSO,M,77,0.08037
80CSO,F,78,0.05632
80CSO,M,78,0.08732
80CSO,F,79,0.06257
80CSO,M,79,0.09476
80CSO,F,80,0.06967
80CSO,M,80,0.10294
80CSO,F,81,0.07783
80CSO,M,81,0.11209
80CSO,F,82,0.08725
80CSO,M,82,0.12241
80CSO,F,83,0.0979
80CSO,M,83,0.13384
80CSO,F,84,0.10962
80CSO,M,84,0.14612
80CSO,F,85,0.12229
80CSO,M,85,0.15898
80CSO,F,86,0.13582
80CSO,M,86,0.17221
80CSO,F,87,0.15018
80CSO,M,87,0.18573
80CSO,F,88,0.16538
80CSO,M,88,0.19953
80CSO,F,89,0.18154
80CSO,M,89,0.21369
80CSO,F,90,0.19885
80CSO,M,90,0.22843
80CSO,F,91,0.21768
80CSO,M,91,0.24411
80CSO,F,92,0.23869
80CSO,M,92,0.26143
80CSO,F,93,0.26341
80CSO,M,93,0.28213
80CSO,F,94,0.29523
80CSO,M,94,0.30997
80CSO,F,95,0.34102
80CSO,M,95,0.35186
80CSO,F,96,0.41388
80CSO,M,96,0.42099
80CSO,F,97,0.53724
80CSO,M,97,0.541
80CSO,F,98,0.74396
80CSO,M,98,0.74515
80CSO,F,99,1.0
80CSO,M,99,1.0
80CSO,F,100,
80CSO,M,100,
80CSO,F,101,
80CSO,M,101,
80CSO,F,102,
80CSO,M,102,
80CSO,F,103,
80CSO,M,103,
80CSO,F,104,
80CSO,M,104,
80CSO,F,105,
80CSO,M,105,
80CSO,F,106,
80CSO,M,106,
80CSO,F,107,
80CSO,M,107,
80CSO,F,108,
80CSO,M,108,
80CSO,F,109,
80CSO,M,109,
80CSO,F,110,
80CSO,M,110,
80CSO,F,111,
80CSO,M,111,
80CSO,F,112,
80CSO,M,112,
80CSO,F,113,
80CSO,M,113,
80CSO,F,114,
80CSO,M,114,
80CSO,F,115,
80CSO,M,115,
80CSO,F,116,
80CSO,M,116,
80CSO,F,117,
80CSO,M,117,
80CSO,F,118,
80CSO,M,118,
80CSO,F,119,
80CSO,M,119,
80CSO,F,120,
80CSO,M,120,
