IDI_BENEFIT_PERIOD,COLA_FLAG,DURATION_YEAR,BENEFIT_PERIOD_MODIFIER
12M,N,1,1.172
12M,N,2,1.172
12M,N,3,1.172
12M,N,4,1.172
12M,N,5,1.172
12M,N,6,1.172
12M,N,7,1.172
12M,N,8,1.172
12M,N,9,1.172
12M,N,10,1.172
18M,N,1,1.172
18M,N,2,1.172
18M,N,3,1.172
18M,N,4,1.172
18M,N,5,1.172
18M,N,6,1.172
18M,N,7,1.172
18M,N,8,1.172
18M,N,9,1.172
18M,N,10,1.172
24M,N,1,1.172
24M,N,2,1.172
24M,N,3,1.172
24M,N,4,1.172
24M,N,5,1.172
24M,N,6,1.172
24M,N,7,1.172
24M,N,8,1.172
24M,N,9,1.172
24M,N,10,1.172
30M,N,1,1.172
30M,N,2,1.172
30M,N,3,1.172
30M,N,4,1.172
30M,N,5,1.172
30M,N,6,1.172
30M,N,7,1.172
30M,N,8,1.172
30M,N,9,1.172
30M,N,10,1.172
36M,N,1,1.172
36M,N,2,1.172
36M,N,3,1.172
36M,N,4,1.172
36M,N,5,1.172
36M,N,6,1.172
36M,N,7,1.172
36M,N,8,1.172
36M,N,9,1.172
36M,N,10,1.172
60M,N,1,1.172
60M,N,2,1.172
60M,N,3,1.172
60M,N,4,1.172
60M,N,5,1.172
60M,N,6,1.172
60M,N,7,1.172
60M,N,8,1.172
60M,N,9,1.172
60M,N,10,1.172
6M,N,1,1.172
6M,N,2,1.172
6M,N,3,1.172
6M,N,4,1.172
6M,N,5,1.172
6M,N,6,1.172
6M,N,7,1.172
6M,N,8,1.172
6M,N,9,1.172
6M,N,10,1.172
LIFE,N,1,0.783
LIFE,N,2,0.783
LIFE,N,3,0.783
LIFE,N,4,0.783
LIFE,N,5,0.783
LIFE,N,6,0.783
LIFE,N,7,0.783
LIFE,N,8,0.783
LIFE,N,9,0.783
LIFE,N,10,0.783
TO65,N,1,1
TO65,N,2,1
TO65,N,3,1
TO65,N,4,1
TO65,N,5,1
TO65,N,6,1
TO65,N,7,1
TO65,N,8,1
TO65,N,9,1
TO65,N,10,1
TO67,N,1,1
TO67,N,2,1
TO67,N,3,1
TO67,N,4,1
TO67,N,5,1
TO67,N,6,1
TO67,N,7,1
TO67,N,8,1
TO67,N,9,1
TO67,N,10,1
TO70,N,1,1
TO70,N,2,1
TO70,N,3,1
TO70,N,4,1
TO70,N,5,1
TO70,N,6,1
TO70,N,7,1
TO70,N,8,1
TO70,N,9,1
TO70,N,10,1
12M,Y,1,1.172
12M,Y,2,1.172
12M,Y,3,1.172
12M,Y,4,1.172
12M,Y,5,1.172
12M,Y,6,1.172
12M,Y,7,1.172
12M,Y,8,1.172
12M,Y,9,1.172
12M,Y,10,1.172
18M,Y,1,1.172
18M,Y,2,1.172
18M,Y,3,1.172
18M,Y,4,1.172
18M,Y,5,1.172
18M,Y,6,1.172
18M,Y,7,1.172
18M,Y,8,1.172
18M,Y,9,1.172
18M,Y,10,1.172
24M,Y,1,1.172
24M,Y,2,1.172
24M,Y,3,1.172
24M,Y,4,1.172
24M,Y,5,1.172
24M,Y,6,1.172
24M,Y,7,1.172
24M,Y,8,1.172
24M,Y,9,1.172
24M,Y,10,1.172
30M,Y,1,1.172
30M,Y,2,1.172
30M,Y,3,1.172
30M,Y,4,1.172
30M,Y,5,1.172
30M,Y,6,1.172
30M,Y,7,1.172
30M,Y,8,1.172
30M,Y,9,1.172
30M,Y,10,1.172
36M,Y,1,1.172
36M,Y,2,1.172
36M,Y,3,1.172
36M,Y,4,1.172
36M,Y,5,1.172
36M,Y,6,1.172
36M,Y,7,1.172
36M,Y,8,1.172
36M,Y,9,1.172
36M,Y,10,1.172
60M,Y,1,1.172
60M,Y,2,1.172
60M,Y,3,1.172
60M,Y,4,1.172
60M,Y,5,1.172
60M,Y,6,1.172
60M,Y,7,1.172
60M,Y,8,1.172
60M,Y,9,1.172
60M,Y,10,1.172
6M,Y,1,1.172
6M,Y,2,1.172
6M,Y,3,1.172
6M,Y,4,1.172
6M,Y,5,1.172
6M,Y,6,1.172
6M,Y,7,1.172
6M,Y,8,1.172
6M,Y,9,1.172
6M,Y,10,1.172
LIFE,Y,1,0.783
LIFE,Y,2,0.783
LIFE,Y,3,0.783
LIFE,Y,4,0.783
LIFE,Y,5,0.783
LIFE,Y,6,0.783
LIFE,Y,7,0.783
LIFE,Y,8,0.783
LIFE,Y,9,0.783
LIFE,Y,10,0.783
TO65,Y,1,0.835
TO65,Y,2,0.835
TO65,Y,3,0.835
TO65,Y,4,0.835
TO65,Y,5,0.835
TO65,Y,6,0.835
TO65,Y,7,0.835
TO65,Y,8,0.835
TO65,Y,9,0.835
TO65,Y,10,0.835
TO67,Y,1,0.835
TO67,Y,2,0.835
TO67,Y,3,0.835
TO67,Y,4,0.835
TO67,Y,5,0.835
TO67,Y,6,0.835
TO67,Y,7,0.835
TO67,Y,8,0.835
TO67,Y,9,0.835
TO67,Y,10,0.835
TO70,Y,1,0.835
TO70,Y,2,0.835
TO70,Y,3,0.835
TO70,Y,4,0.835
TO70,Y,5,0.835
TO70,Y,6,0.835
TO70,Y,7,0.835
TO70,Y,8,0.835
TO70,Y,9,0.835
TO70,Y,10,0.835
